asin,reviewerID,reviewText,overall,summary,unixReviewTime,helpful_votes,total_votes,product_brand,product_title,product_price
B00008RW9V,A2XXRN2ANQDBKO,"I've used a California Duster in the past with other vehicles and loved how it sucked up dust and dirt and held without scratching my finish.  I had gotten away from super-anal car care the last few years but with a recent purchase of a brand new 2014 Subaru XV Crosstrek, my Automotive wishlist her on Amazon has been growing and another California Duster has been towards the top of the &#34;Really Want&#34; list.I still have my old Original California Duster and it works great (like fine wine, it got better with age) but was mostly interested in this smaller one for the interior.  I have a dark grey/charcoal colored interior that is patterned and almost feels 'sticky' to the touch for lack of a water word.  Using a microfiber cloth didn't really clean up the dust too well and another duster I picked up here works ok on the radio console and steering wheel but not on the dash itself.Despite a few negative reviews here I decided to give it a go after a recent price drop.  Picked this up for $4.63 when I figured I didn't have much to lose.Put it out on the porch for two days on a stack of newspapers as was suggested.  After that I gave it a bunch of really good shakes and then ran my fingers thru the fibers a few times trying to get out any of the lose ones.  That seemed to do the trick because I haven't had any issues with stray red fibers all over the place or the pad falling apart as I've read in previous reviews.Shortly after I went out to the car and cleaned the outside and the inside.  Shook it out a bunch and it seemed to work great on the dash which has been a PITA since I bought the car.  Afterwards I brought it inside and used it to dust my entire first floor of my house.  This included behind my tv and entertainment center, on top of my refrigerator and all those other places normally buried in dust.  Worked like a charm, sucked it all up and didn't let go.So I'd have to say this, just like it big brother, the Original, works like a charm.  For anyone having other issues like red fibers all over the place, I'd recommend following the steps I did listed above, it worked great for me and as of now I have a great little duster that I paid less then 5 bucks for.  IMO, u can't beat it.",5,"Nice product, not sure about previous negative reviews",1399420800,0,0,California Car Duster,California Car Duster 62447-8B Mini Duster,9.95
B00009W3G7,A2YCR42YHJFI3Z,"The deflector does a good job navigating the air in the direction desired and the magnets reliably hold it in place on a vertical vent in a wall. I am happy with the product, happy enough to order another one!",5,Works Very Well!,1390003200,2,2,NA,NA,21.98
B0000ATZDE,A3AY333WHF4H3E,"Considering this is made in China, it is a quality product, too bad all my locks are keyed to the some number",4,Receiver lock,1395014400,0,0,Trimax,Trimax SXT3 Premium 5/8&quot; Key Receiver Lock,23
B0000AXNMO,A34KAA7V803KJA,"Although the treatment does a good job treating the windows, I have found that removal is not that easy. You have to work at removing the residual haze. I usually have to wait two days to remove the haze entirely.",4,Good but...,1396224000,2,2,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXNMO,A1DIPVFBDL4W6R,"Been using these since the 70s.They simply works. Read the instruction.But may require frequent application , depending on the weather and wipers usage.The coating does wear out with use and by the sun",4,Simply works,1403654400,0,0,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXNMO,A3STK5WDK5UB58,"I really appreciate the Rain X in a light drizzle or mist, when the water seems to disperse by itself with minimal windshield wiper use. When you apply before the cold weather, though, it helps prevent ice from sticking to your windshield, which is just great. I also like to use the product on the back window, which doesn't have a wiper, because it keeps the window clearer. Follow the directions--let it dry to a light haze and wipe it off with a microfiber or paper towel until the windshield is clear. I'm sure you'll like it.",5,Good for all seasons,1388793600,0,1,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXNMO,A2HD6G443MGH2A,"This is the original product.  Really great stuff.  Works so well; when rain hits, you'll be so happy you applied it.  Rain just sheets off; you don't even need wipers on.This package includes a LOT of product.  A huge improvement from the small, single-use packages they used to make (or maybe they still do); this is a much better value.The only downside to this product is the seal; there's a little spout on the bottle top that goes up and down; you flip it up to dispense the product.  It seems pretty flimsy, and doesn't seem to seal very well when closed.  I have a feeling some of it is going to evaporate out of the bottle, and at some point some will spill out if the bottle is ever turned on its side.  Other than that, great product.",4,"Great stuff, the original",1400544000,0,0,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXNMO,A3HKTLQYKZYM4S,"Before I applied this to the windshield of my car, I noticed that the wiper blades, although new, left some streaking on the glass, and it could be a bit of a challenge to see outside especially when it rains hard and the raindrops magnify the lights of cars or the streetlights. After application, the wiper blades no longer left streaks, it became much easier to clearly see outside and the water beaded and blew away. At times, it may look like there is no rain on the glass when driving through rain at night.It works so well that I purchased another bottle when my first one began to run out.",5,Makes driving in the rain easier,1405036800,0,0,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXNMO,A1U8ED9PT5Q0ZC,This is my first purchase of rain-x. It seems to work pretty well. I do wish it lasted longer. A few weeks after application it seems to be wearing off unevenly. Also it was difficult to get a good buffing on the windshield after the first application. Once it rained the wipers seemed to even it out though.,4,Rain x,1403481600,0,0,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXNMO,A2BYXX5JLY4FIU,"great stuff to have when it starts to rain.  Don't need it too often in So Cal, but when it does rain, it helps a lot with visibility, especially if you haven't gotten around to buying new wiper blades during the rest of the year.",5,gotta love it,1388620800,0,0,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXNMO,A18B28FB5FRJDY,works great ....you do not have to use your wipers as much...water rolls right off,5,rainx works,1404518400,0,0,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXNMO,A2XXRN2ANQDBKO,"Product definitely works as described.  Have used this in the past on all of my vehicles (3 over the last 16 years) and it does a great job of clearing your windshield/windows of rain and misting.During light rains or when the roads are wet and mist is kicked up from the tires on the vehicle in front of you, this does a great job of keeping the beading moving up and off of the windows to the point that you don't really even need your wipers.  In moderate or heavy rains, it does a great job of keeping the water beaded up so vision isn't as reduced as it is on untreated windows.I docked one star though because i've found (thru multiple vehicles and uses) that my wiper blades doesn't seem to last as long after it has been applied.  I've also spoken with multiple friends who reported the same issue.  I haven't used this in conjunction with the RainX wiper blades so maybe that isn't an issue if you use them, but it is def noticeable with other commons brands... From the cheapest ones to the premium ones, it seems to affect the life of them all.That being said, i now only apply to the side windows, moonroof and mirrors of my vehicles. The beading the product causes helps keep the rain off which minimizes water spots as well.  Another plus especially in the spring when pollen is rampant and not washed away with constant &#34;April Showers&#34;.",4,Nice product for your vehicle,1399852800,0,0,Rain-X,Rain-X 800002243 Glass Treatment- 7 oz.,3.54
B0000AXPDU,A2UU3TQD379THD,More for slowing down an amateur thief. Lug nuts that require a special tool are more secure. Had to grind away a bit of the shell due to interference with the wheel casting shape.,4,Adequate SUV spare tire lock,1393372800,0,1,Master Lock,Master Lock 262DAT Chrome Lug Nut Style Spare Tire Lock,5.51
B0000AXPDU,A21HW1D1AMR9OE,"I purchased this lock for the spare tire on my trailer.  It seems like it could be broken without too much effort, but should help deter theft by being there.",4,"Seems lightweight, but should be fine",1395619200,0,0,Master Lock,Master Lock 262DAT Chrome Lug Nut Style Spare Tire Lock,5.51
B0000AXPDU,A3ONR0WWEC3SAB,Works like it was intended for.,4,good price,1403913600,0,0,Master Lock,Master Lock 262DAT Chrome Lug Nut Style Spare Tire Lock,5.51
B0000AXRH5,A2N7X2Q5JX7XRM,"This inexpensive funnel is pretty handy for certain jobs.  I use mine for fuel additives such as Seafoam, which is a good product but the container is difficult to pour into most car/truck fuel tanks.  A nice little funnel for the price.",3,Not expensive a and works,1397174400,0,0,Hopkins,Hopkins FloTool 10701 Spill Saver Multi-Purpose Funnel,4.44
B0000AXRH5,A2KS0XOY3WHGL4,I got this to change oil on my 2005 Honda Odyssey and it made the job of changing oil very easy.  I was able to get nearly 4 1/2 quarts of oil in a couple of minutes with out any spill.  It's also multi purpose!  Very good value for the money paid.,5,Works great!,1393113600,0,0,Hopkins,Hopkins FloTool 10701 Spill Saver Multi-Purpose Funnel,4.44
B0000AXRH5,A205ZP18PBAATA,"This thing is smaller and skinnier than I thought, although it is very long.  It is awkward for filling my car engine oil because its so long that the bottom of the funnel hits the valve heads before anything else, so its unstable to just sit in there.  I have to hold it to support it with one hand while i fill the oil with the other.It does have some good uses though, as it is just the right size to fill my motorcycle transmission oil.All in all, the funnel is solid, no complaints on the product quality, but I think next time I will purchase in person so I can really gauge the size I need.",4,Smaller than I thought,1397520000,1,1,Hopkins,Hopkins FloTool 10701 Spill Saver Multi-Purpose Funnel,4.44
B0000AXRH5,A26JZGSF1SBQMY,A dollar? I stole this. hehehee,5,Five Stars,1405123200,0,0,Hopkins,Hopkins FloTool 10701 Spill Saver Multi-Purpose Funnel,4.44
B0000AXRH5,A2QBZTG2TIZDER,"Perfect funnel to pour oil into your crankcase..  This funnel can be used for other purposes of course,.. but I bought it for pouring quart oil into my crankcase.",5,Small.. works well.,1395446400,0,0,Hopkins,Hopkins FloTool 10701 Spill Saver Multi-Purpose Funnel,4.44
B0000AXRH5,AVOOU49YPVHGN,Got this for oil changes on my Victory Vision. It works well but you do have to poor slow as to not overflow the funnel. It is a good length and offered an easy tool for use with my motorcycle.,5,Motorcycle approved,1400544000,0,0,Hopkins,Hopkins FloTool 10701 Spill Saver Multi-Purpose Funnel,4.44
B0000AXRH5,A3INN916E4VION,"I got sick of using my &#34;Common&#34; funnel for different uses, trying to clean up an oily funnel so you can use it for Sea Foam is just dumb when you can get these for a little more than $1.  The size/length is perfect for gas-tank additives.  I purchased 3, I keep one in the garage to pour Sea Foam into my cara/motorcycle/snow-blower/lawnmower.  And the other 2 I keep in whatever vehicle I'm currently using, in my &#34;just in case&#34; pack.Great product.",5,Perfect for pouring in Sea Foam additive,1392940800,0,0,Hopkins,Hopkins FloTool 10701 Spill Saver Multi-Purpose Funnel,4.44
B0000AXRH5,A2B5RVOAEPEDLH,"This I use to replace the transmission fluid on my Lincoln Town car.  The tube is quite narrow and way back at the firewall.  The long skinny tip of this funnel reaches all the way back there and fits well, preventing a real mess.  Can't beat the price either.",5,Perfect,1391558400,0,0,Hopkins,Hopkins FloTool 10701 Spill Saver Multi-Purpose Funnel,4.44
B0000AXTUY,AZOK5STV85FBJ,Very useful charger. I mounted it in the engine bay near the battery and it works as intended.Only downside to this charger is the length of the plug cord. It worked well for my application though because i mounted it in tandem with a flush-mount sealed power port on the side of the vehicle.It allowed my battery to remain topped up and warm enough to start at 35 below zero like it was no big deal.I will be ordering a second for an other vehicle.,5,Easy to use float charger,1396051200,0,0,Schumacher,Schumacher SE-1-12S-CA  Fully Automatic Onboard Battery Charger - 1.5 Amps,27.52
B0000AXU02,A23SJHTJ3AWJZU,They fit perfectly onto the vehicle and or trailer wire when not in use. With the retaining loop they stay with the connectors when you are connected vehicle to trailer.,5,Perfect fit,1401408000,0,0,Hopkins,Hopkins 48735 4Wire Flat Replacement Dust Covers,2.56
B0000AXU02,A2WZT9FDW7QKD0,"If you want to get the most out of your towing lights harness or you truck harness you need these covers...I will never again go without this product...fit tight doesn't fall off with road vibration...Buy, Buy, Buy...",5,A must Have...I would not go without them...,1395100800,0,0,Hopkins,Hopkins 48735 4Wire Flat Replacement Dust Covers,2.56
B0000AXU02,A302DURNQ1L66H,They keep the contacts clean and lubricated however they are both the same and not a matched pair for vehicle and trailer.,4,What can I say,1393113600,0,0,Hopkins,Hopkins 48735 4Wire Flat Replacement Dust Covers,2.56
B0000AXU02,A216JZZ0EXV5ZZ,The 4Wire Flat Replacement Dust Covers help keep the ends clean from road dirt.,5,Five Stars,1404864000,0,0,Hopkins,Hopkins 48735 4Wire Flat Replacement Dust Covers,2.56
B0000AXY62,A4WE0UGOCKDPX,It works and is much easier to lock/unlock with the key facing you than if it is pointed to the side.,5,It works,1388880000,0,0,Master Lock,Master Lock 1480DAT Stainless Steel Receiver Lock for 5/8&rdquo; Receiver Hole,13.89
B0000AY3X0,A228B35PGJ9S8I,"I recommend these to anyone who has bitched about drying their car.I used this product and was blown away buy how well it absorbed and better yet the wring out was so easy,3 folds and a twist and 90% of the water was out!I bought one of the Chemical Guys Waffle Micro fiber cloths and it was awesome,but when you go to wring it out the shear size (25&#34;x36&#34;) made it very hard to get a good wring out.Their towel did almost 80% of my car, 2 from those would be an alternative.I give this product A+ and it is worth every penny!",5,OMG - These Absorber's are Freaking Amazing,1397347200,0,0,NA,NA,14.99
B0000AY3X0,A19RPDCMN4HJ8M,"I was looking for a new chamois to replace the old worn out one I had.  I ran across the Absorber, and the reviews wore great on this product.  So, I decided to give it a try.  I'm SO glad I bought it!! It really is the best chamois/absorbent drying towel I've ever seen!! After drying your car (or whatever you are trying to dry off), just toss it in your washing machine. It comes out looking brand new again!!  You really can go wrong---buy this product!!!",5,Absorbs water like no other chamois!,1399420800,0,0,NA,NA,14.99
B0000AY3X0,AYC0EKXYI2T8K,"I find it a bit humorous that reviewers keep saying &#34;it doesn't absorb water&#34;.. then they state later on that they have to ring all of the water out all of the time. Are they ringing out &#34;air&#34; ? Of course is absorbs the water. It is just not good at drying the car for the final wipe. I use a towel after using this. That's worked well for many years. I tried a &#34;waffle towel&#34; and it was worse than the absorber. I tried a special auto towel, but that did not work as well either. I think that the absorber used with a towel is probably the best combo to use. I suppose you can turn on the leaf blower, but if you get any dirt in there you may do a number on your paint.",4,Sucks up water,1390003200,0,1,NA,NA,14.99
B0000AY3X0,A3I4QS0F350D17,When reaching for a towel to dry that vehicle - grab an Absorber.  It works as good as the real thing - at a fraction of the cost!  We have a piece of one of these in the kitchen...priceless.  Don't waste your money on Sham-Wow or other junk..get a Absorber and be satisfied.,5,One Wipe - You Dry,1397174400,0,0,NA,NA,14.99
B0000AY3X0,A3999B1P01986J,"Do your research people, this thing is the best for drying your car. It helps so much when washing your own car. Don't use rags that will drag dirt & hold onto rocks to scratch your paint. I can't go with out this thing and I truly stand by it.Highly recommendVery easy to use and saves you timeFast and easy shippingLove it",5,The only thing I use to dry,1398297600,0,0,NA,NA,14.99
B0000AY3X0,A1R3T01MVZU6Z5,"The Absorber is made of polyvinyl alcohol which allows it to be super absorbent and reusable.  It comes in a plastic tube which serves as a holder for the Absorber and I would suggest you store it in there since the Absorber should be stored moist so it does not break down and stiffen.  The product really does absorb a lot of water and is the best car dryer I have ever had.  After you wash the car run the Absorber over the car and 90% of the water gets removed.  When the towel gets saturated, just wring it out and start drying again.  It cuts car drying time at least in half, maybe more, plus the effort to dry with this towel is less than with a standard towel or chamois.  If the car is in the sun or if you have hard water or if you are meticulous about your car, it may be a good thing to run a microfiber towel over the car after you use the Absorber to get the rest of the water off and to ensure no spots/streaks get  left behind.  When you are done, just wring most of the water out of the Absorber and roll it back into its plastic container for next time.  This is a great product for car drying or for cleaning up wet spills.  I highly recommended it for those purposes.  I am hesitant to recommend using it on your body since it sits in a moist, bacteria-friendly environment between uses - but as a car dryer it is terrific.  I comparison shop a lot before buying anything - hopefully you can benefit from my time investment and review.",5,An excellent product and a huge time saver!,1394582400,1,1,NA,NA,14.99
B0000AY3X0,A2F2U4O1U6MN9J,"I purchased this based on the recommendation of a friend. It works well, and if you are very certain your freshly washed car is free from all debris, you will likely not cause any scratching. However, if you pick up some rogue sand granule or some other debris, you could cause clear coat damage.After watching an episode of Drive Clean and seeing them use microfiber towels in the same manner, I made the switch. It takes a little longer, but the microfiber towel is marginally safer on your precious paint job and if you're auto obsessed, it may be worth the extra time. The microfiber are also easier to clean, just wash and dry and you are on your way. This thing will get mold unless you let it dry out completely and is a pain to wash by hand. I still use it around the house and it works well, it just no longer gets anywhere near my new car.",3,"I used to love this, then I started using microfiber towels instead",1389916800,0,0,NA,NA,14.99
B0000AY3X0,A1QF996642YT9L,"I was prepared to write a &#34;sham-why&#34; review because initially this thing acted like a sheet of nonabsorbent rubber, but once it started soaking water it seemed to 'open up' and began working pretty well.  It wrings out easily and leaves no lint, which is pretty rad,  because the old bath towels I was using before made my car fuzzy.",4,Weird at first but it's ok now.,1403913600,0,0,NA,NA,14.99
B0000AY3X0,A2XXRN2ANQDBKO,"Awesome.  Just used this for the first time earlier today.  I've owned a natural chamois but haven't used it in years so I threw it away.  This works great.  Washed my car and then used a Water Blade on it (def another recommended product) and then used this on all the corners and tight spaces.  Soaks the water up very well, rings out a lot of the water and stores &#34;damp&#34; which means little to not maintenance to maintain.  Covers a lot of area too I was surprised once I unfolded it just how big it was.",5,Def a worthwhile investment.,1396310400,0,0,NA,NA,14.99
B0000AY3X0,AJC7WTO025631,This thing will hold a lot of water. just be sure to keep it moist inside the original tube. I will buy more of these. Just need to watch the price and buy low.,5,Super chamois!,1390608000,0,1,NA,NA,14.99
B0000AY3X0,AVXC6UHG42PPW,I have a black car so i need to dry it to avoid spots.  this works great.  holds a lot of water and takes me few min to dry whole car.,5,a must for home car washes,1400803200,0,0,NA,NA,14.99
B0000AY3X0,A33Q17P5FNASCZ,This dries my car very well and stops water spots from forming.,5,Good car drying Chamois.,1404345600,0,0,NA,NA,14.99
B0000AY3X0,A1XDRSGSV56YQ0,"Keep all those sham wows. I have used Absorber Chamois for years, much better than natural ones or any other brands.",4,Classic good absorber,1396915200,0,0,NA,NA,14.99
B0000AY3X0,A3MUZNGD8P82CX,"this has been a must have in the detailing word. This holds SO much water and comes with a nice container to stow it away.  Quality and works excellent, does not scratch.  NEVER use another brand!",5,Best Chamois- Money can buy,1397779200,0,0,NA,NA,14.99
B0000AY60S,A2Z8E86KKRWCEO,"After reading reviews and opinions on other waxes, I just stuck with what I`ve used before and I`m not disappointed at all. I did however apply this wax with a buffer. After cutting the hull with Flitz, I followed through with Flagship premium wax and this 15 year hull looks incredible!",5,Great wax!,1400716800,0,0,Meguiar&#39;s,Meguiar's M6316 Flagship Premium Marine Wax - 16 oz.,14.4
B0000AY60S,A162TL1XLLWR1M,Very good finish top cost or fiberglass RV & Marine products.Goes on easy comes off clean.  I have used a light weight polisherWhen doing our camper.Last for months.  Good product.,5,Top coat for RV's & Boats,1393113600,0,1,Meguiar&#39;s,Meguiar's M6316 Flagship Premium Marine Wax - 16 oz.,14.4
B0000AY9W6,A17DIKUTVOU7ZM,This is NOT the HEAVY DUTY wheel chock that Camco also sellsCamco 44492 RV Super Wheel ChockI bought this not paying very close attention to the details.  It's a nice wheel chock but I prefer to have a matching set of 4.,5,Nice Wheel Chock - Be Aware!,1393372800,0,0,NA,NA,37.66
B0000AY9W6,A2H4KPQWVVTV1L,"These are the perfect size for the tires on an rv trailer - 15&#34;. I had some that were too large and didn't fit the curve of the tire so weren't very effective. These fit perfectly and hold extremely well. If you put a loop of rope through the hole, it makes it easier to remove them from under your tires.",5,JUST THE RIGHT SIZE,1391990400,0,0,NA,NA,37.66
B0000AY9W6,A2AS2MLG7W2T0O,"Works very well for the cost, I would recommend an attached rope to allow for easier removal from the wheels.",4,STOP your RV dead in its track.,1402099200,0,0,NA,NA,37.66
B0000AY9W6,A1P3RTQKM8BRBL,"I used this for a while. Though hollow plastic I felt it was designed to hold a camper from rolling and it did. One day I forgot to remove it when pulling out and it seems to take very little pressure moving forward to flatten it like a pan cake so I though my 50,000 investment may be better served with a heavy duty galvanized wheel chock that wont give in and even let me move over it by mistake and let me know its holding solid if I ever did again roll forward over it.",2,It went flat as a pan cake.,1396224000,0,0,NA,NA,37.66
B0000AY9W6,A18OA72LTNHWX1,Great ......,5,Five Stars,1404172800,0,0,NA,NA,37.66
B0000AY9W6,A3PXF66VPXFNP6,Wheel chocks are a must for every Rver.  This is of particular importance if you use  the tri-leveler or other similar device.,4,A must for RVers,1403395200,0,0,NA,NA,37.66
B0000AY9W6,A2NKHNO8VA378W,These were advertised as sold in a pair yet only one came.  I will need to order a second I guess.  They also appear plastic.,3,Advertise wrong,1399939200,0,0,NA,NA,37.66
B0000AY9W6,A62T0SYSMAQVA,They do exactly what you want them to and show no signs of breaking after weekly moves and daily use for almost a year.,5,Perfect,1394150400,0,0,NA,NA,37.66
B0000AY9W6,A1MYX6BVSUNE5Q,This is a well built wheel chock. It's made out of thick plastic. I accidentally ran it over with my car. And it held up perfectly!,5,wheel chock,1404604800,0,0,NA,NA,37.66
B0000AY9W6,A1SBT8UO5AZYMD,"Five stars because they are lightweight, inexpensive and have a hole for a rope; tie two together, pull both at the same time.  Ordered four for tandom axle trailer.",5,yellow plastic wheel chocks,1395705600,0,0,NA,NA,37.66
B0000AY9W6,A2HJP95BA6AZ4K,works well and holds fast and steady. I am really surprised by the light weight and sturdy construction. Will buy them again for the other things i have.,4,Great chocks,1396569600,0,0,NA,NA,37.66
B0000AY9W6,A1ZCP89FCRCUQ1,I bought 4 of these to change the rear shocks on my S2000. They work as advertised.,4,They hold,1404432000,0,0,NA,NA,37.66
B0000AY9W6,A11OY91XPI2CWZ,It's bigger and feels more secure then our older pair of wheel chocks.Holds our trailer in place with no issues. Not much else to say for such a simple product.,5,It's a wheel chock!,1404259200,0,0,NA,NA,37.66
B0000AY9W6,AL319F173J5UT,The price and appears to meet all our needs.Appears well made and we are happy with the sent product. Thank you.,5,Wheel Chocks,1393372800,0,0,NA,NA,37.66
B0000AY9W6,A29ARABMSNY5TC,"These are well made, inexpensive, and work great. They are quality made in USA!And they had no shipping charges if added onto an existing Amazon order.",5,Great Wheel Chocks - Great Price - Made in USA!,1389052800,0,0,NA,NA,37.66
B0000AYES4,A9WK8EPYO7QE4,This will be a useful item to have around. In the past I had to carry both an 1 7/8 and a 2 5/16 ball mount in the truck. Too much iron! Now I just change out the ball and I'm ready.,5,This will allow me to have the option of several size tow-balls available quickly.,1400544000,0,0,Reese,"Reese Towpower 74309 Interchangable 1 7/8&quot;, 2&quot;, 2 5/16&quot; Hitch Ball Kit",26.92
B0000AYES4,A1YUUW3PEG1JNU,Very clever idea. Had to use on my 2013 Jeep Wrangler Unlimited Sahara with a lift kit and adjustable drop hitch. Spinning ball hitches for different sizes won't work in my case because the adjustable hitch height is a solid piece specific to the entire hitch. In order to tow my 2 different trailers I'd need 2 drop hitches. Interchangeable balls is the perfect solution and I have to say these are perfect. They work well and are rated around 8k pounds of towing. Saved a lot of money here compared to my closest towing accessory store.,5,Good product and well worth the price.,1404691200,0,0,Reese,"Reese Towpower 74309 Interchangable 1 7/8&quot;, 2&quot;, 2 5/16&quot; Hitch Ball Kit",26.92
B0000AZ9KS,A2FKXF5PIY4XNT,"The &#34;feet&#34; on this bar slides off the truck bed sides and makes it worthless.When the ratchet is extended, the mechanism for that ends up out of arms reach when standing outside the truck.",2,bad design,1402185600,0,0,Keeper,Keeper 05059 Ratcheting Cargo Bar,23.83
B0000DYVN9,AMGG5L7VFDEWM,"I bought this with a cold winter in mind, being in my car can be cold sometimes after I cut the ignition off waiting for someone.The switch went bad after a month of medium use (2-3 times a week).",3,Decent for a NY winter,1391040000,0,0,Trillium Worldwide,"Trillium Worldwide Car Cozy 2 12-Volt Heated Travel Blanket (Navy, 58&quot; x 42&quot;)",31.1
B0000UUX34,A1GGNQP11JJRJM,"Packaging was nice as always and shipment quick. Of course this was a drop in so it fit nice and snug for my 2004 Tahoe Z71. Was giving the newly used Z a tuneup so I replaced the plugs, wires, cleaned MAF, TB, cleaned out the filter housing as it had grime inside of it, then just dropped this in. Z breathes better although I would really like to acquire a tube to replace the quiet factory one! Anyways, I recommend the filter as it looks better than factory, and will be used and cleaned for MANY miles to come!",5,Highly quality product,1402617600,0,0,K&amp;N,K&amp;N 33-2129 High Performance Replacement Air Filter,47.99
B0000UUX34,AVYLM4KCGHH9U,This filter combined with an Airaid MRT helped my 2004 Tahoe make a little more power and sound like it has a V8 under the hood! The filter fit nicely and should provide plenty of filtration for this daily driver.,5,"Easy to install, adds power and sound with Airaid MIT",1404950400,0,0,K&amp;N,K&amp;N 33-2129 High Performance Replacement Air Filter,47.99
B0000UUX34,A38R7YM630GDHQ,"I've read a couple reviews stating that the sizing could be wrong, so I was a little hesitant to order, but the return policy is simple so I did, very happy with my order.  I can feel increased acceleration on highway speeds. I have a 2002 silverado 1500 8 cyl. rwd.",5,"Correct Size, easy install",1390435200,0,0,K&amp;N,K&amp;N 33-2129 High Performance Replacement Air Filter,47.99
B0000UUX34,A1EEF3UC83LG0S,W0W.....This filter fits exactly like the OEM filter But will allow much better air flow to my big V8 & save me sum $$$$$ @ the same time. I recommend this unit to anyone looking for added performance & mileage. A+ &#34;Can't beat K/N&#34;,5,High Performance Sez it all,1399420800,0,0,K&amp;N,K&amp;N 33-2129 High Performance Replacement Air Filter,47.99
B000182DPG,A14ZUHTPYMEHAH,I looked around for a better price but Amazon had the best number! I have one in both cars and soon as I get time I will be building a K&N set-up for my other vehicle as there is not one made for it,5,Great deal!,1402704000,0,0,K&amp;N,K&amp;N 33-2031-2 High Performance Replacement Air Filter,35.64
